genre,age_group,popularity,producer
Action,36+,187,Light novel
Action,36+,365,Light novel
Action,36+,845,Original
Action,36+,689,Original
Action,36+,986,Original
Comedy,36+,992,Manga
Comedy,36+,425,Manga
Comedy,36+,2301,Manga
Action,36+,1067,Original
Comedy,36+,1638,Manga
Action,36+,1394,Original
Action,36+,545,Manga
Comedy,36+,797,Manga
Action,36+,770,Visual novel
Mecha,36+,1187,Manga
Action,36+,630,Novel
Action,36+,523,Manga
Adventure,36+,100,Light novel
Comedy,36+,1185,Manga
Comedy,36+,1192,Light novel
Action,36+,905,Original
Action,36+,636,Light novel
Action,36+,1657,Novel
Action,36+,764,Game
Comedy,36+,1064,Manga
Action,36+,415,Light novel
Comedy,36+,2379,Original
Adventure,36+,1199,Light novel
Comedy,36+,2398,Manga
Comedy,36+,1053,Manga
Comedy,36+,1774,Original
Comedy,36+,1666,Manga
Military,36+,1202,Manga
Military,36+,2295,Light novel
Comedy,36+,1395,Manga
Drama,36+,1148,Manga
Action,36+,1790,Manga
Comedy,36+,1573,Visual novel
Action,36+,206,Light novel
Magic,36+,1033,Light novel
Slice of Life,36+,2508,4-koma manga
Comedy,36+,2143,Manga
Slice of Life,36+,677,Manga
Harem,36+,1119,Visual novel
Slice of Life,36+,55,Visual novel
Action,36+,1045,Manga
Sci-Fi,36+,202,Light novel
Adventure,36+,941,Game
Comedy,36+,1279,Manga
Comedy,36+,814,Manga
Slice of Life,36+,80,4-koma manga
Action,36+,220,Manga
Harem,36+,462,Manga
Action,36+,1185,Original
Action,36+,1312,Manga
Adventure,36+,240,Light novel
Drama,36+,586,Original
Game,36+,555,Manga
Action,36+,791,Original
Adventure,36+,2237,Unknown
Comedy,36+,313,Manga
Drama,36+,599,Manga
Action,36+,2537,Light novel
Action,36+,2972,Light novel
Action,36+,904,Manga
Military,36+,805,Manga
Adventure,36+,1596,Light novel
Comedy,36+,1456,Manga
Comedy,36+,5724,Manga
Comedy,36+,5007,Manga
Action,36+,1367,Original
Adventure,36+,1965,Original
Action,36+,3043,Manga
Action,36+,264,Manga
Action,36+,1766,Original
Adventure,36+,2851,Original
Action,36+,3376,Original
Comedy,36+,1500,Manga
Action,36+,2661,Novel
Comedy,36+,1402,Manga
Military,36+,3620,Novel
Action,36+,4748,Original
Action,36+,2359,Manga
Comedy,36+,1688,Manga
Comedy,36+,791,Manga
Action,36+,5019,Original
Comedy,36+,1909,Manga
Action,36+,1883,Manga
Comedy,36+,3173,Light novel
Slice of Life,36+,1513,Manga
Action,36+,550,Visual novel
Comedy,36+,1026,Manga
Adventure,36+,997,Game
Action,36+,2719,Original
Action,36+,2030,Light novel
Action,36+,1598,Novel
Comedy,36+,1898,Manga
Comedy,36+,3172,Manga
Comedy,36+,1398,Original
Military,36+,671,Novel
Adventure,36+,1099,Original
Comedy,36+,2597,Original
Action,36+,1553,Original
Adventure,36+,3338,Manga
Action,36+,3520,Manga
